Year,State,District,Water Level
2022-23,Jharkhand,Simdega,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Garhwa,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Dhanbad,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Lohardaga,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Palamu,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Latehar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,East-Singhbhum,2 to 5 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Pakur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Dumka,5 to 10 Pre Monsoon (in mbgl)
2022-23,Jharkhand,Koderma,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Khunti,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Saraikela-Kharsawan,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Sahibganj,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Gumla,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Ramgarh,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Godda,5 to 10 Post Monsoon (in mbgl)
2022-23,Jharkhand,Giridih,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,West-Singhbhum,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Chatra,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Ranchi,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Hazaribagh,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Jamtara,5 to 10 Post Monsoon (in mbgl)
2022-23,Jharkhand,Bokaro,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Deoghar,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Simdega,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Garhwa,5 to 10 Post Monsoon (in mbgl)
2022-23,Jharkhand,Dhanbad,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Lohardaga,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Palamu,5 to 10 Post Monsoon (in mbgl)
2022-23,Jharkhand,Latehar,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,East-Singhbhum,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Pakur,2 to 5 Post Monsoon (in mbgl)
2022-23,Jharkhand,Dumka,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Ballari,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Tumakuru,0 to 2 Pre Monsoon (in mbgl)
2022-23,Karnataka,Bengaluru South,N.A. Pre Monsoon (in mbgl)
2022-23,Karnataka,Dakshina Kannada,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Chamarajanagar,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Bengaluru Urban,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Bengaluru Rural,0 to 2 Pre Monsoon (in mbgl)
2022-23,Karnataka,Udupi,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Bagalkote,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Koppal,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Yadgir,N.A. Pre Monsoon (in mbgl)
2022-23,Karnataka,Uttara Kannada,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Raichur,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Gadag,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Kodagu,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Belagavi,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Vijayapura,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Kolar,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Davanagere,0 to 2 Pre Monsoon (in mbgl)
2022-23,Karnataka,Hassan,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Chikkamagaluru,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Mysuru,0 to 2 Pre Monsoon (in mbgl)
2022-23,Karnataka,Kalaburagi,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Mandya,0 to 2 Pre Monsoon (in mbgl)
2022-23,Karnataka,Bidar,10 to 20 Pre Monsoon (in mbgl)
2022-23,Karnataka,Shivamogga,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Dharwad,5 to 10 Pre Monsoon (in mbgl)
2022-23,Karnataka,Chikkaballapura,N.A. Pre Monsoon (in mbgl)
2022-23,Karnataka,Haveri,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Chitradurga,2 to 5 Pre Monsoon (in mbgl)
2022-23,Karnataka,Ballari,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Tumakuru,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Bengaluru South,N.A. Post Monsoon (in mbgl)
2022-23,Karnataka,Dakshina Kannada,5 to 10 Post Monsoon (in mbgl)
2022-23,Karnataka,Chamarajanagar,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Bengaluru Urban,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Bengaluru Rural,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Udupi,5 to 10 Post Monsoon (in mbgl)
2022-23,Karnataka,Bagalkote,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Koppal,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Yadgir,N.A. Post Monsoon (in mbgl)
2022-23,Karnataka,Uttara Kannada,5 to 10 Post Monsoon (in mbgl)
2022-23,Karnataka,Raichur,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Gadag,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Kodagu,5 to 10 Post Monsoon (in mbgl)
2022-23,Karnataka,Belagavi,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Vijayapura,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Kolar,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Davanagere,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Hassan,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Chikkamagaluru,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Mysuru,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Kalaburagi,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Mandya,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Bidar,2 to 5 Post Monsoon (in mbgl)
2022-23,Karnataka,Shivamogga,5 to 10 Post Monsoon (in mbgl)
2022-23,Karnataka,Dharwad,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Chikkaballapura,N.A. Post Monsoon (in mbgl)
2022-23,Karnataka,Haveri,0 to 2 Post Monsoon (in mbgl)
2022-23,Karnataka,Chitradurga,0 to 2 Post Monsoon (in mbgl)
2022-23,Kerala,Thrissur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Thiruvananthapuram,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Ernakulam,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Malappuram,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Pathanamthitta,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Idukki,2 to 5 Pre Monsoon (in mbgl)
2022-23,Kerala,Kollam,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Kasaragod,10 to 20 Pre Monsoon (in mbgl)
2022-23,Kerala,Kozhikode,2 to 5 Pre Monsoon (in mbgl)
2022-23,Kerala,Kannur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Palakkad,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Kottayam,2 to 5 Pre Monsoon (in mbgl)
2022-23,Kerala,Alappuzha,0 to 2 Pre Monsoon (in mbgl)
2022-23,Kerala,Wayanad,5 to 10 Pre Monsoon (in mbgl)
2022-23,Kerala,Thrissur,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Thiruvananthapuram,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Ernakulam,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Malappuram,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Pathanamthitta,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Idukki,2 to 5 Post Monsoon (in mbgl)
2022-23,Kerala,Kollam,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Kasaragod,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Kozhikode,2 to 5 Post Monsoon (in mbgl)
2022-23,Kerala,Kannur,5 to 10 Post Monsoon (in mbgl)
2022-23,Kerala,Palakkad,2 to 5 Post Monsoon (in mbgl)
2022-23,Kerala,Kottayam,2 to 5 Post Monsoon (in mbgl)
2022-23,Kerala,Alappuzha,0 to 2 Post Monsoon (in mbgl)
2022-23,Kerala,Wayanad,5 to 10 Post Monsoon (in mbgl)
2022-23,Ladakh,Leh Ladakh,N.A. Pre Monsoon (in mbgl)
2022-23,Ladakh,Kargil,N.A. Pre Monsoon (in mbgl)
2022-23,Ladakh,Leh Ladakh,N.A. Post Monsoon (in mbgl)
2022-23,Ladakh,Kargil,N.A. Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Indore,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Chhatarpur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Mandsaur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Bhopal,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sagar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Burhanpur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Mandla,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Rajgarh,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Seoni,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Raisen,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Panna,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Jhabua,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Vidisha,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Anuppur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Guna,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Bhind,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Neemuch,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Ashoknagar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Tikamgarh,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sehore,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Agar-Malwa,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Narmadapuram,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Shajapur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Datia,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Dindori,2 to 5 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Umaria,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Barwani,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sidhi,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Satna,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Narsimhapur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Rewa,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Alirajpur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Gwalior,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Balaghat,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Katni,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Betul,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Harda,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Singrauli,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Dhar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sheopur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Damoh,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Khargone (West Nimar),5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Dewas,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Jabalpur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Shahdol,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Morena,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Khandwa (East Nimar),5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Ujjain,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Shivpuri,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Ratlam,10 to 20 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Chhindwara,5 to 10 Pre Monsoon (in mbgl)
2022-23,Madhya Pradesh,Indore,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Chhatarpur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Mandsaur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Bhopal,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sagar,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Burhanpur,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Mandla,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Rajgarh,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Seoni,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Raisen,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Panna,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Jhabua,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Vidisha,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Anuppur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Guna,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Bhind,10 to 20 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Neemuch,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Ashoknagar,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Tikamgarh,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sehore,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Agar-Malwa,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Narmadapuram,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Shajapur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Datia,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Dindori,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Umaria,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Barwani,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sidhi,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Satna,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Narsimhapur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Rewa,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Alirajpur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Gwalior,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Balaghat,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Katni,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Betul,0 to 2 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Harda,5 to 10 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Singrauli,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Dhar,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Sheopur,0 to 2 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Damoh,0 to 2 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Khargone (West Nimar),2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Dewas,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Jabalpur,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Shahdol,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Morena,20 to 40 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Khandwa (East Nimar),2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Ujjain,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Shivpuri,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Ratlam,2 to 5 Post Monsoon (in mbgl)
2022-23,Madhya Pradesh,Chhindwara,5 to 10 Post Monsoon (in mbgl)
2022-23,Maharashtra,Thane,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Mumbai Suburban,2 to 5 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Chhatrapati Sambhajinagar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Nanded,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Washim,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Sindhudurg,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Jalgaon,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Dhule,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Wardha,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Yavatmal,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Nagpur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Akola,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Raigad,2 to 5 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Sangli,2 to 5 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Pune,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Bhandara,10 to 20 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Hingoli,10 to 20 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Dharashiv,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Parbhani,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Ratnagiri,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Gadchiroli,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Nandurbar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Ahilyanagar,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Solapur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Gondia,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Satara,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Kolhapur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Nashik,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Palghar,N.A. Pre Monsoon (in mbgl)
2022-23,Maharashtra,Latur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Jalna,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Mumbai,2 to 5 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Chandrapur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Buldhana,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Amravati,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Beed,5 to 10 Pre Monsoon (in mbgl)
2022-23,Maharashtra,Thane,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Mumbai Suburban,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Chhatrapati Sambhajinagar,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Nanded,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Washim,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Sindhudurg,5 to 10 Post Monsoon (in mbgl)
2022-23,Maharashtra,Jalgaon,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Dhule,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Wardha,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Yavatmal,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Nagpur,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Akola,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Raigad,0 to 2 Post Monsoon (in mbgl)
2022-23,Maharashtra,Sangli,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Pune,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Bhandara,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Hingoli,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Dharashiv,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Parbhani,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Ratnagiri,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Gadchiroli,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Nandurbar,5 to 10 Post Monsoon (in mbgl)
2022-23,Maharashtra,Ahilyanagar,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Solapur,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Gondia,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Satara,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Kolhapur,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Nashik,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Palghar,N.A. Post Monsoon (in mbgl)
2022-23,Maharashtra,Latur,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Jalna,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Mumbai,0 to 2 Post Monsoon (in mbgl)
2022-23,Maharashtra,Chandrapur,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Buldhana,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Amravati,2 to 5 Post Monsoon (in mbgl)
2022-23,Maharashtra,Beed,2 to 5 Post Monsoon (in mbgl)
2022-23,Meghalaya,Ri Bhoi,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,South Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,South West Khasi Hills,N.A. Pre Monsoon (in mbgl)
2022-23,Meghalaya,East Jaintia Hills,N.A. Pre Monsoon (in mbgl)
2022-23,Meghalaya,West Khasi Hills,0 to 2 Pre Monsoon (in mbgl)
2022-23,Meghalaya,South West Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,North Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,East Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,West Jaintia Hills,0 to 2 Pre Monsoon (in mbgl)
2022-23,Meghalaya,West Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,East Khasi Hills,2 to 5 Pre Monsoon (in mbgl)
2022-23,Meghalaya,Ri Bhoi,2 to 5 Post Monsoon (in mbgl)
2022-23,Meghalaya,South Garo Hills,0 to 2 Post Monsoon (in mbgl)
2022-23,Meghalaya,South West Khasi Hills,N.A. Post Monsoon (in mbgl)
2022-23,Meghalaya,East Jaintia Hills,20 to 40 Post Monsoon (in mbgl)
2022-23,Meghalaya,West Khasi Hills,0 to 2 Post Monsoon (in mbgl)
2022-23,Meghalaya,South West Garo Hills,0 to 2 Post Monsoon (in mbgl)
2022-23,Meghalaya,North Garo Hills,2 to 5 Post Monsoon (in mbgl)
2022-23,Meghalaya,East Garo Hills,2 to 5 Post Monsoon (in mbgl)
2022-23,Meghalaya,West Jaintia Hills,0 to 2 Post Monsoon (in mbgl)
2022-23,Meghalaya,West Garo Hills,0 to 2 Post Monsoon (in mbgl)
2022-23,Meghalaya,East Khasi Hills,0 to 2 Post Monsoon (in mbgl)
2022-23,Nagaland,Mon,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Longleng,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Tuensang,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Kiphire,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Kohima,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Dimapur,5 to 10 Pre Monsoon (in mbgl)
2022-23,Nagaland,Peren,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Mokokchung,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Wokha,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Zunheboto,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Phek,N.A. Pre Monsoon (in mbgl)
2022-23,Nagaland,Mon,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Longleng,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Tuensang,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Kiphire,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Kohima,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Dimapur,5 to 10 Post Monsoon (in mbgl)
2022-23,Nagaland,Peren,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Mokokchung,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Wokha,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Zunheboto,N.A. Post Monsoon (in mbgl)
2022-23,Nagaland,Phek,N.A. Post Monsoon (in mbgl)
2022-23,Odisha,Mayurbhanj,2 to 5 Pre Monsoon (in mbgl)
2022-23,Odisha,Puri,2 to 5 Pre Monsoon (in mbgl)
2022-23,Odisha,Balangir,2 to 5 Pre Monsoon (in mbgl)
2022-23,Odisha,Sundargarh,2 to 5 Pre Monsoon (in mbgl)
2022-23,Odisha,Jajapur,2 to 5 Pre Monsoon (in mbgl)
